x,y,z,v_x,v_y,v_z,|U|,rho,pressure
-2.91514, -0.473171, -0.00588849, 0.139335, 0.0858066, -0.00451469, 0.163699, 1000.85, 8505.44
-3.01862, -0.497478, 0.0414036, 0.0179898, -0.00511845, -0.0125066, 0.0224999, 1000.54, 5386.94
-2.86746, -0.452328, 0.092669, 0.101449, 0.0796761, -0.0927103, 0.158856, 1000.34, 3370.85
-2.94304, -0.474819, 0.112887, 0.0125976, 0.0573666, -0.0628867, 0.0860486, 1000.4, 3977.4
-2.99351, -0.478175, 0.214849, -0.0351576, -0.0423817, -0.00313806, 0.0551554, 1000.58, 5766.56
-3.00258, -0.536161, 0.288948, 0.0694138, 0.0477234, -0.0611587, 0.104097, 1000.52, 5181.58
-3.01194, -0.490191, 0.390371, -0.0516171, 0.107662, -0.0164593, 0.120525, 1000.26, 2649.12
-2.91838, -0.534439, 0.379127, -0.0387686, -0.0746097, -0.297708, 0.309354, 1000.34, 3424.79
-3.01749, 0.538213, 0.476081, 0.117697, -0.0571626, -0.194976, 0.23481, 1000.21, 2069.29
-2.89169, -0.510132, 0.439911, 0.204006, 0.0206147, -0.414273, 0.46224, 1000.36, 3567.3
-2.99946, -0.52406, 0.546378, 0.0666043, -0.13334, -0.375748, 0.404231, 1000.22, 2223.88
-2.79184, -0.530449, 0.452359, 0.142817, -0.0472292, -0.460419, 0.484369, 1000.25, 2485.47
-2.89406, -0.53717, 0.531259, 0.218056, -0.000474962, -0.574314, 0.614317, 1000.11, 1115.15
-2.75139, -0.490036, 0.510637, 0.290336, 0.0185577, -0.643392, 0.70611, 1000.28, 2790.01
-2.86377, -0.539177, 0.563303, 0.338161, -0.0141515, -0.570559, 0.663393, 1000.07, 682.417
-2.94562, -0.520329, 0.614669, 0.200234, -0.0196627, -0.553584, 0.589012, 999.972, -280.695
-2.94048, -0.53023, 0.63762, 0.120928, 0.0448343, -0.625467, 0.638625, 1000.05, 492.808
-2.84407, 0.544249, 0.619306, 0.347952, -0.0481016, -0.65972, 0.747405, 1000.04, 365.539
-2.68918, -0.523741, 0.574072, 0.435834, -0.131484, -0.628557, 0.776095, 1000.05, 519.999
-2.60941, 0.542853, 0.617656, 0.272997, -0.191635, -0.597677, 0.684448, 1000.09, 882.954
-2.72482, -0.521314, 0.641314, 0.329889, -0.0271216, -0.630364, 0.711983, 1000.04, 384.832
-2.99306, -0.413105, -0.00735337, 0.0179889, -0.0265443, 0.0260821, 0.0413337, 1000.84, 8419.82
-2.91087, -0.378279, 0.0510055, 0.00542193, 0.0265821, -0.110135, 0.113427, 1000.6, 6002.97
-2.87174, -0.330793, 0.104184, -0.0172374, 0.0621261, -0.0279533, 0.0702721, 1000.51, 5124.91
-3.01204, -0.42815, 0.121859, 0.0701168, -0.0141686, -0.0684516, 0.0990088, 1000.43, 4315.66
-2.96836, -0.384531, 0.194989, 0.0916347, -0.0892521, -0.0494286, 0.137135, 1000.67, 6701.59
-3.00657, -0.408092, 0.290491, -0.00916286, 0.00551875, -0.0175485, 0.0205515, 1000.44, 4439.25
-2.95036, -0.400968, 0.328448, 0.199695, -0.01148, -0.245925, 0.317, 1000.29, 2922.32
