x,y
-6.000000,-7.000000
-6.029725,-6.916144
-6.060762,-6.819006
-6.087693,-6.720637
-6.110467,-6.621217
-6.129042,-6.520922
-6.143384,-6.419933
-6.153468,-6.318426
-6.159274,-6.216584
-6.160792,-6.114586
-6.158019,-6.012612
-6.150961,-5.910844
-6.139629,-5.809461
-6.124043,-5.708644
-6.104231,-5.608570
-6.080228,-5.509417
-6.052075,-5.411360
-6.019824,-5.314573
-5.983530,-5.219228
-5.943258,-5.125492
-5.899079,-5.033533
-5.851072,-4.943512
-5.799320,-4.855590
-5.743917,-4.769921
-5.684959,-4.686658
-5.622551,-4.605947
-5.556804,-4.527933
-5.487833,-4.452752
-5.415762,-4.380537
-5.340717,-4.311418
-5.262831,-4.245515
-5.182242,-4.182946
-5.099093,-4.123821
-5.013530,-4.068245
-4.925707,-4.016316
-4.835776,-3.968125
-4.743899,-3.923759
-4.650237,-3.883295
-4.554956,-3.846805
-4.458225,-3.814352
-4.360215,-3.785995
-4.261100,-3.761782
-4.161054,-3.741756
-4.060255,-3.725951
-3.958881,-3.714392
-3.857127,-3.706834
-3.755248,-3.701137
-3.653485,-3.693696
-3.552092,-3.682294
-3.451265,-3.666658
-3.351181,-3.646813
-3.252013,-3.622804
-3.153929,-3.594692
-3.057035,-3.562714
-2.961234,-3.527585
-2.866349,-3.490043
-2.772250,-3.450567
-2.678805,-3.409564
-2.585885,-3.367385
-2.493399,-3.324264
-2.401289,-3.280348
-2.309497,-3.235770
-2.217980,-3.190634
-2.126708,-3.145004
-2.035659,-3.098932
-1.944811,-3.052462
-1.854144,-3.005643
-1.763634,-2.958518
-1.673262,-2.911128
-1.583018,-2.863496
-1.492886,-2.815651
-1.402829,-2.767664
-1.312816,-2.719595
-1.222852,-2.671434
-1.132938,-2.623176
-1.043040,-2.574892
-0.953098,-2.526688
-0.863065,-2.478654
-0.772922,-2.430828
-0.682669,-2.383209
-0.592309,-2.335793
-0.501843,-2.288581
-0.411274,-2.241568
-0.320618,-2.194721
-0.229913,-2.147970
-0.139214,-2.101205
-0.048587,-2.054302
0.041913,-2.007155
0.132309,-1.959808
0.222757,-1.912559
0.313346,-1.865583
0.403886,-1.818511
0.493983,-1.770599
0.583121,-1.720930
0.670651,-1.668484
0.756041,-1.612624
0.839044,-1.553275
0.919499,-1.490515
0.997259,-1.424447
1.072185,-1.355180
1.144141,-1.282833
1.212996,-1.207529
1.278629,-1.129400
1.340923,-1.048584
1.399766,-0.965221
1.455053,-0.879460
1.506688,-0.791450
1.554580,-0.701349
1.598644,-0.609316
1.638805,-0.515514
1.674993,-0.420108
1.707147,-0.323268
1.735213,-0.225165
1.759146,-0.125974
1.778913,-0.025868
1.794491,0.074974
1.805882,0.176375
1.813154,0.278155
1.816800,0.380131
1.817831,0.482170
1.817235,0.584214
1.815683,0.686247
1.813594,0.788272
1.811248,0.890291
1.808854,0.992309
1.806588,1.094330
1.804628,1.196357
1.803208,1.298392
1.802566,1.400435
1.802562,1.502481
1.802434,1.604526
1.801541,1.706567
1.800002,1.808601
1.798263,1.910632
1.796613,2.012664
1.795215,2.114699
1.794263,2.216740
1.793949,2.318784
1.794130,2.420829
1.794283,2.522874
1.794157,2.624919
1.794095,2.726964
1.794630,2.829008
1.796262,2.931039
1.799537,3.033030
1.804922,3.134930
1.812434,3.236696
1.821596,3.338328
1.831842,3.439856
1.842739,3.541317
1.853988,3.642739
1.865378,3.744146
1.876746,3.845555
1.887925,3.946984
1.898664,4.048460
1.908649,4.150013
1.917552,4.251667
1.924961,4.353439
1.930283,4.455340
1.932715,4.557350
1.931454,4.659378
1.926069,4.761271
1.916472,4.862853
1.902651,4.963947
1.884617,5.064374
1.862394,5.163959
1.836017,5.262524
1.805530,5.359896
1.770986,5.455903
1.732450,5.550379
1.689996,5.643159
1.643705,5.734086
1.593670,5.823008
1.540001,5.909784
1.483100,5.994478
1.423830,6.077534
1.362867,6.159356
1.300564,6.240162
1.237071,6.320036
1.172508,6.399049
1.107271,6.477505
1.041901,6.555851
0.976763,6.634389
0.911935,6.713182
0.847346,6.792170
0.782897,6.871270
0.718574,6.950472
0.654546,7.029912
0.591036,7.109764
0.528138,7.190099
0.465890,7.270938
0.404377,7.352335
0.343754,7.434398
0.284278,7.517292
0.226335,7.601261
0.170484,7.686629
0.117437,7.773760
0.067768,7.862853
0.021787,7.953892
0.000000,8.000000
