x,y
-5.000000,-6.000000
-4.972911,-5.953298
-4.922017,-5.867900
-4.868117,-5.782432
-4.811326,-5.698854
-4.751262,-5.617594
-4.687872,-5.538898
-4.621262,-5.462907
-4.551546,-5.389752
-4.478845,-5.319560
-4.403288,-5.252451
-4.325006,-5.188540
-4.244138,-5.127934
-4.160830,-5.070725
-4.075311,-5.016874
-3.987937,-4.966085
-3.899141,-4.917817
-3.809351,-4.871422
-3.718912,-4.826302
-3.628078,-4.781982
-3.537026,-4.738107
-3.445881,-4.694426
-3.354723,-4.650772
-3.263597,-4.607049
-3.172521,-4.563222
-3.081489,-4.519302
-2.990491,-4.475311
-2.899518,-4.431267
-2.808568,-4.387176
-2.717638,-4.343041
-2.626730,-4.298861
-2.535846,-4.254633
-2.444985,-4.210354
-2.354153,-4.166018
-2.263349,-4.121622
-2.172575,-4.077163
-2.081833,-4.032641
-1.991120,-3.988057
-1.900438,-3.943411
-1.809787,-3.898701
-1.719171,-3.853918
-1.628601,-3.809045
-1.538088,-3.764053
-1.447649,-3.718914
-1.357287,-3.673621
-1.266974,-3.628228
-1.176650,-3.582859
-1.086228,-3.537683
-0.995634,-3.492854
-0.904832,-3.448446
-0.813842,-3.404425
-0.722739,-3.360638
-0.631636,-3.316850
-0.540649,-3.272822
-0.449853,-3.228402
-0.359268,-3.183551
-0.268865,-3.138334
-0.178589,-3.092866
-0.088381,-3.047261
0.001805,-3.001611
0.092003,-2.955985
0.182236,-2.910429
0.272520,-2.864975
0.362869,-2.819647
0.453289,-2.774463
0.543790,-2.729439
0.634377,-2.684590
0.725057,-2.639929
0.815838,-2.595471
0.906726,-2.551234
0.997730,-2.507237
1.088862,-2.463503
1.180132,-2.420058
1.271551,-2.376929
1.363131,-2.334141
1.454876,-2.291707
1.546777,-2.249614
1.638807,-2.207802
1.730907,-2.166142
1.822976,-2.124416
1.914871,-2.082308
2.006406,-2.039424
2.097347,-1.995296
2.187403,-1.949390
2.276214,-1.901123
2.363376,-1.849941
2.448511,-1.795456
2.531344,-1.737533
2.611702,-1.676222
2.689445,-1.611627
2.764435,-1.543856
2.836541,-1.473024
2.905637,-1.399252
2.971602,-1.322668
3.034321,-1.243403
3.093685,-1.161596
3.149591,-1.077387
3.201941,-0.990923
3.250644,-0.902353
3.295615,-0.811832
3.336777,-0.719515
3.374056,-0.625564
3.407390,-0.530142
3.436719,-0.433413
3.461993,-0.335546
3.483167,-0.236712
3.500205,-0.137080
3.513077,-0.036826
3.521761,0.063878
3.526243,0.164856
3.526514,0.265933
3.522575,0.366934
3.514432,0.467683
3.502100,0.568006
3.485601,0.667728
3.464964,0.766676
3.440225,0.864680
3.411427,0.961569
3.378623,1.057175
3.341869,1.151334
3.301233,1.243884
3.256787,1.334666
3.208614,1.423526
3.156801,1.510314
3.101501,1.594923
3.043033,1.677378
2.981906,1.757883
2.918738,1.836799
2.854155,1.914562
2.788717,1.991609
2.722896,2.068330
2.657070,2.145047
2.591518,2.221997
2.526413,2.299326
2.461833,2.377093
2.397765,2.455283
2.334143,2.533836
2.270881,2.612679
2.207906,2.691751
2.145165,2.771009
2.082625,2.850426
2.020269,2.929987
1.958091,3.009687
1.896088,3.089523
1.834261,3.169496
1.772611,3.249605
1.711140,3.329851
1.649845,3.410233
1.588726,3.490747
1.527780,3.571393
1.467003,3.652166
1.406393,3.733064
1.345944,3.814084
1.285655,3.895221
1.225520,3.976473
1.165535,4.057836
1.105697,4.139307
1.046001,4.220882
0.986440,4.302556
0.927009,4.384324
0.867699,4.466180
0.808500,4.548116
0.749401,4.630124
0.690386,4.712193
0.631442,4.794312
0.572557,4.876474
0.513726,4.958674
0.454966,5.040926
0.396329,5.123264
0.337922,5.205767
0.279937,5.288565
0.222666,5.371859
0.166527,5.455917
0.112063,5.541070
0.059915,5.627658
0.010715,5.715951
-0.035044,5.806075
-0.077079,5.897994
-0.115270,5.991575
-0.149546,6.086660
-0.179841,6.183087
-0.206102,6.280689
-0.228280,6.379299
-0.246335,6.478746
-0.260236,6.578858
-0.269957,6.679461
-0.275481,6.780381
-0.276797,6.881444
-0.273904,6.982473
-0.266806,7.083293
-0.255516,7.183730
-0.240051,7.283608
-0.220441,7.382755
-0.196717,7.480998
-0.168925,7.578167
-0.137115,7.674094
-0.101487,7.768669
-0.062585,7.861942
-0.021248,7.954158
0.000000,8.000000
