x,y
-5.000000,4.000000
-4.908892,4.051417
-4.816108,4.099736
-4.721327,4.144009
-4.624723,4.184154
-4.526478,4.220096
-4.426773,4.251767
-4.325796,4.279109
-4.223733,4.302071
-4.120774,4.320610
-4.017111,4.334692
-3.912938,4.344290
-3.808447,4.349386
-3.703834,4.349972
-3.599292,4.346047
-3.495017,4.337617
-3.391203,4.324699
-3.288041,4.307317
-3.185725,4.285505
-3.084443,4.259304
-2.984384,4.228765
-2.885731,4.193951
-2.788662,4.154936
-2.693208,4.112117
-2.598902,4.066814
-2.505144,4.020387
-2.411610,3.973508
-2.318175,3.926432
-2.224780,3.879277
-2.131406,3.832080
-2.038049,3.784851
-1.944708,3.737588
-1.851385,3.690291
-1.758078,3.642961
-1.664791,3.595593
-1.571524,3.548184
-1.478264,3.500763
-1.385022,3.453305
-1.291805,3.405799
-1.198574,3.358318
-1.105344,3.310839
-1.012058,3.263467
-0.918455,3.216727
-0.824475,3.170748
-0.730554,3.124649
-0.637038,3.077734
-0.543832,3.030207
-0.450799,2.982341
-0.357891,2.934232
-0.265128,2.885846
-0.172609,2.836994
-0.080496,2.787381
0.011383,2.737334
0.103567,2.687854
0.196211,2.639240
0.289010,2.590922
0.381800,2.542586
0.474573,2.494218
0.567202,2.445575
0.659390,2.396102
0.750477,2.344639
0.839587,2.289828
0.926268,2.231253
1.010347,2.169001
1.091666,2.103184
1.170072,2.033923
1.245421,1.961348
1.317573,1.885594
1.386399,1.806805
1.451838,1.725181
1.514506,1.641405
1.575661,1.556515
1.636178,1.471169
1.696466,1.385661
1.756697,1.300112
1.816943,1.214575
1.877226,1.129063
1.937555,1.043583
1.997947,0.958149
2.058405,0.872761
2.118906,0.787403
2.179464,0.702086
2.240124,0.616842
2.300869,0.531658
2.361973,0.446731
2.423854,0.362369
2.486257,0.278392
2.548294,0.194145
2.609612,0.109372
2.670441,0.024249
2.730869,-0.061160
2.790734,-0.146964
2.849860,-0.233279
2.908868,-0.319676
2.968620,-0.405558
3.029042,-0.490971
3.089654,-0.576250
3.150298,-0.661506
3.211022,-0.746704
3.271802,-0.831863
3.332604,-0.917006
3.393426,-1.002135
3.454264,-1.087252
3.515123,-1.172354
3.576002,-1.257442
3.636901,-1.342515
3.697813,-1.427580
3.758731,-1.512639
3.819650,-1.597698
3.880575,-1.682753
3.941515,-1.767797
4.002450,-1.852845
4.063371,-1.937903
4.124329,-2.022933
4.185199,-2.108028
4.245682,-2.193397
4.305488,-2.279242
4.363967,-2.365993
4.419761,-2.454491
4.471825,-2.545231
4.519939,-2.638126
4.564007,-2.733007
4.603949,-2.829698
4.639699,-2.928016
4.671481,-3.027689
4.700600,-3.128178
4.728536,-3.229002
4.756036,-3.329947
4.783394,-3.430930
4.810719,-3.531922
4.838051,-3.632912
4.865406,-3.733897
4.892788,-3.834873
4.920200,-3.935842
4.947640,-4.036802
4.975109,-4.137755
5.002604,-4.238701
5.030127,-4.339639
5.057674,-4.440571
5.085245,-4.541496
5.112839,-4.642414
5.140454,-4.743327
5.168089,-4.844234
5.195744,-4.945136
5.223416,-5.046033
5.251105,-5.146926
5.278809,-5.247814
5.306527,-5.348698
5.334259,-5.449579
5.362003,-5.550456
5.389760,-5.651330
5.417529,-5.752200
5.445314,-5.853065
5.473124,-5.953924
5.500979,-6.054770
5.528930,-6.155590
5.557084,-6.256353
5.585672,-6.356994
5.615166,-6.457372
5.646480,-6.557196
5.680972,-6.655962
5.719533,-6.753210
5.762240,-6.848710
5.809018,-6.942284
5.859783,-7.033754
5.914444,-7.122953
5.972899,-7.209711
6.035040,-7.293869
6.100752,-7.375269
6.169913,-7.453760
6.242394,-7.529196
6.318061,-7.601435
6.396773,-7.670344
6.478383,-7.735794
6.562740,-7.797664
6.649687,-7.855838
6.739062,-7.910208
6.830698,-7.960673
6.924426,-8.007139
7.020070,-8.049519
7.117453,-8.087735
7.216394,-8.121714
7.316708,-8.151395
7.418209,-8.176722
7.520707,-8.197648
7.624013,-8.214133
7.727933,-8.226147
7.832275,-8.233668
7.936844,-8.236682
8.041445,-8.235183
8.145885,-8.229174
8.249967,-8.218666
8.353500,-8.203678
8.456290,-8.184240
8.558145,-8.160386
8.658877,-8.132161
8.758297,-8.099618
8.856220,-8.062818
8.952465,-8.021828
9.000000,-8.000000
