x,y
-6.000000,-7.000000
-6.003242,-6.991077
-6.025478,-6.928562
-6.057622,-6.831451
-6.086521,-6.732773
-6.111408,-6.633009
-6.132052,-6.532282
-6.148408,-6.430769
-6.160446,-6.328655
-6.168144,-6.226121
-6.171488,-6.123353
-6.170473,-6.020536
-6.165099,-5.917854
-6.155378,-5.815493
-6.141325,-5.713635
-6.122968,-5.612464
-6.100337,-5.512163
-6.073475,-5.412911
-6.042430,-5.314887
-6.007257,-5.218268
-5.968019,-5.123226
-5.924787,-5.029933
-5.877640,-4.938557
-5.826660,-4.849262
-5.771942,-4.762208
-5.713581,-4.677552
-5.651685,-4.595446
-5.586363,-4.516038
-5.517733,-4.439470
-5.445919,-4.365881
-5.371051,-4.295403
-5.293261,-4.228161
-5.212691,-4.164278
-5.129485,-4.103868
-5.043793,-4.047040
-4.955768,-3.993896
-4.865570,-3.944531
-4.773360,-3.899034
-4.679305,-3.857487
-4.583572,-3.819965
-4.486335,-3.786535
-4.387768,-3.757257
-4.288049,-3.732184
-4.187356,-3.711361
-4.085871,-3.694825
-3.983776,-3.682606
-3.881255,-3.674726
-3.778493,-3.671163
-3.675668,-3.671618
-3.572910,-3.675396
-3.470260,-3.681478
-3.367674,-3.688572
-3.265058,-3.695213
-3.162342,-3.700019
-3.059532,-3.701863
-2.956726,-3.699918
-2.854089,-3.693727
-2.751807,-3.683192
-2.650063,-3.668330
-2.549041,-3.649169
-2.448921,-3.625743
-2.349885,-3.598094
-2.252109,-3.566273
-2.155770,-3.530336
-2.061039,-3.490353
-1.968085,-3.446394
-1.877019,-3.398647
-1.787755,-3.347605
-1.699976,-3.294045
-1.613168,-3.238923
-1.526795,-3.183120
-1.440465,-3.127251
-1.353953,-3.071663
-1.267200,-3.016453
-1.180291,-2.961488
-1.093374,-2.906536
-1.006554,-2.851432
-0.919864,-2.796122
-0.833275,-2.740655
-0.746713,-2.685146
-0.660090,-2.629730
-0.573355,-2.574492
-0.486514,-2.519420
-0.399616,-2.464439
-0.312699,-2.409486
-0.225767,-2.354558
-0.138811,-2.299668
-0.051829,-2.244819
0.035178,-2.190010
0.122214,-2.135246
0.209294,-2.080552
0.296454,-2.025987
0.383757,-1.971649
0.471259,-1.917635
0.558948,-1.863924
0.646681,-1.810282
0.734158,-1.756227
0.820909,-1.701016
0.906319,-1.643756
0.989778,-1.583693
1.070797,-1.520379
1.149085,-1.453717
1.224621,-1.383951
1.297690,-1.311602
1.368864,-1.237385
1.438920,-1.162110
1.508622,-1.086506
1.578591,-1.011149
1.649418,-0.936601
1.721795,-0.863558
1.796379,-0.792773
1.873590,-0.724867
1.953561,-0.660233
2.036197,-0.599046
2.121338,-0.541394
2.208696,-0.487156
2.297815,-0.435859
2.388144,-0.386720
2.479140,-0.338826
2.570399,-0.291432
2.661671,-0.244065
2.752850,-0.196517
2.843948,-0.148816
2.935040,-0.101104
3.026185,-0.053492
3.117395,-0.006006
3.208648,0.041399
3.299901,0.088805
3.391129,0.136256
3.482349,0.183724
3.573593,0.231146
3.664877,0.278490
3.756212,0.325737
3.847618,0.372845
3.939119,0.419769
4.030705,0.466526
4.122332,0.513204
4.213932,0.559933
4.305449,0.606826
4.396864,0.653917
4.488202,0.701158
4.579508,0.748460
4.670815,0.795760
4.762136,0.843032
4.853473,0.890275
4.944821,0.937496
5.036175,0.984704
5.127534,1.031905
5.218895,1.079100
5.310258,1.126291
5.401623,1.173479
5.492991,1.220662
5.584361,1.267840
5.675734,1.315013
5.767108,1.362182
5.858483,1.409351
5.949858,1.456520
6.041233,1.503688
6.132615,1.550843
6.224020,1.597953
6.315478,1.644959
6.407026,1.691791
6.498672,1.738431
6.590344,1.785018
6.681858,1.831915
6.772890,1.879741
6.862959,1.929352
6.951509,1.981621
7.038045,2.037158
7.122205,2.096231
7.203788,2.158817
7.282647,2.224801
7.358638,2.294069
7.431625,2.366494
7.501476,2.441949
7.568067,2.520296
7.631276,2.601396
7.690991,2.685103
7.747104,2.771265
7.799513,2.859729
7.848126,2.950334
7.892854,3.042920
7.933616,3.137318
7.970341,3.233359
8.002960,3.330870
8.031417,3.429677
8.055660,3.529601
8.075644,3.630463
8.091335,3.732082
8.102704,3.834274
8.109730,3.936857
8.112401,4.039645
8.110712,4.142454
8.104666,4.245098
8.094277,4.347394
8.079565,4.449159
8.060716,4.550240
8.038291,4.650590
8.013190,4.750307
8.000000,4.800000
