x,y
-5.000000,-6.000000
-4.959222,-5.930237
-4.905562,-5.843195
-4.848547,-5.758301
-4.788003,-5.675879
-4.724038,-5.596074
-4.656769,-5.519030
-4.586316,-5.444882
-4.512803,-5.373761
-4.436364,-5.305792
-4.357138,-5.241090
-4.275272,-5.179760
-4.190919,-5.121893
-4.104239,-5.067572
-4.015502,-5.016674
-3.925187,-4.968624
-3.833824,-4.922591
-3.741830,-4.877828
-3.649480,-4.833800
-3.556937,-4.790178
-3.464294,-4.746765
-3.371606,-4.703448
-3.278906,-4.660154
-3.186215,-4.616839
-3.093547,-4.573471
-3.000914,-4.530029
-2.908323,-4.486493
-2.815783,-4.442849
-2.723299,-4.399086
-2.630875,-4.355193
-2.538515,-4.311165
-2.446223,-4.266995
-2.353999,-4.222679
-2.261847,-4.178214
-2.169768,-4.133596
-2.077764,-4.088822
-1.985837,-4.043889
-1.893988,-3.998797
-1.802213,-3.953552
-1.710505,-3.908172
-1.618850,-3.862682
-1.527234,-3.817113
-1.435645,-3.771491
-1.344073,-3.725831
-1.252502,-3.680170
-1.160828,-3.634714
-1.068838,-3.589903
-0.976411,-3.545999
-0.883711,-3.502674
-0.791086,-3.459186
-0.698806,-3.414971
-0.606915,-3.369951
-0.515323,-3.324326
-0.423925,-3.278312
-0.332642,-3.232070
-0.241416,-3.185715
-0.150205,-3.139330
-0.058971,-3.092990
0.032318,-3.046757
0.123694,-3.000695
0.215183,-2.954858
0.306809,-2.909297
0.398594,-2.864053
0.490553,-2.819167
0.582703,-2.774673
0.675058,-2.730605
0.767630,-2.686994
0.860432,-2.643873
0.953472,-2.601270
1.046761,-2.559213
1.140306,-2.517727
1.234109,-2.476828
1.328170,-2.436525
1.422481,-2.396810
1.517023,-2.357647
1.611762,-2.318961
1.706642,-2.280622
1.801575,-2.242413
1.896429,-2.204009
1.991018,-2.164958
2.085129,-2.124771
2.178626,-2.083174
2.271466,-2.040132
2.363478,-1.995350
2.454180,-1.947976
2.543008,-1.897179
2.629646,-1.842732
2.713931,-1.784710
2.795710,-1.723203
2.874832,-1.658316
2.951157,-1.590160
3.024546,-1.518852
3.094869,-1.444519
3.161999,-1.367289
3.225816,-1.287301
3.286207,-1.204694
3.343063,-1.119616
3.396282,-1.032218
3.445771,-0.942653
3.491440,-0.851082
3.533208,-0.757667
3.571000,-0.662574
3.604749,-0.565972
3.634394,-0.468033
3.659884,-0.368931
3.681172,-0.268842
3.698220,-0.167944
3.710999,-0.066417
3.719486,0.035558
3.723666,0.137801
3.723533,0.240129
3.719086,0.342360
3.710334,0.444313
3.697294,0.545807
3.679988,0.646661
3.658450,0.746697
3.632717,0.845737
3.602837,0.943605
3.568865,1.040129
3.530863,1.135139
3.488900,1.228468
3.443056,1.319952
3.393418,1.409434
3.340080,1.496762
3.283154,1.581794
3.222777,1.664412
3.159280,1.744660
3.093336,1.822913
3.025741,1.899747
2.957112,1.975661
2.887732,2.050893
2.817579,2.125403
2.746562,2.199093
2.674846,2.272103
2.602905,2.344894
2.531244,2.417959
2.460181,2.491604
2.389909,2.566003
2.320512,2.641218
2.251943,2.717188
2.184101,2.793806
2.116895,2.870982
2.050258,2.948648
1.984144,3.026760
1.918524,3.105286
1.853375,3.184203
1.788682,3.263494
1.724435,3.343145
1.660623,3.423146
1.597241,3.503487
1.534281,3.584159
1.471737,3.665153
1.409603,3.746463
1.347872,3.828079
1.286538,3.909993
1.225594,3.992197
1.165031,4.074683
1.104841,4.157441
1.045017,4.240463
0.985548,4.323741
0.926427,4.407266
0.867643,4.491029
0.809191,4.575023
0.751063,4.659242
0.693255,4.743680
0.635767,4.828337
0.578604,4.913214
0.521779,4.998317
0.465316,5.083661
0.409256,5.169270
0.353663,5.255182
0.298632,5.341455
0.244307,5.428173
0.190891,5.515452
0.138679,5.603453
0.088083,5.692391
0.039657,5.782525
-0.005944,5.874118
-0.048117,5.967336
-0.086495,6.062177
-0.120923,6.158522
-0.151312,6.256215
-0.177594,6.355091
-0.199711,6.454980
-0.217619,6.555707
-0.231282,6.657097
-0.240671,6.758969
-0.245768,6.861145
-0.246563,6.963443
-0.243051,7.065682
-0.235240,7.167681
-0.223141,7.269258
-0.206776,7.370233
-0.186173,7.470426
-0.161370,7.569659
-0.132409,7.667754
-0.099344,7.764537
-0.062235,7.859832
-0.021415,7.953580
0.000000,8.000000
